Date,Transaction Type,Received Quantity,Received Currency,Sent Quantity,Sent Currency,Fee Currency,Fee Amount,Market Value,Source,Internal Transfer,External ID
2019-08-28T18:09:03.000Z,Income,0.24,VIB,,,,,0.004139531983296839,Binance,FALSE,3a1e7244-6066-4ba3-a001-b572d1d0335b
2019-09-03T11:25:27.000Z,Income,0.4858,QSP,,,,,0.006219093279955622,Binance,FALSE,87c736b7-10b7-4a07-8c51-dc5c2aa569bb
2019-09-04T12:55:16.000Z,Income,0.1306,PERL,,,,,0.011874252822432946,Binance,FALSE,33c7d799-f8bc-4275-8f2b-1f42b174a18c
2019-09-07T19:02:08.000Z,Income,0.0336,BRD,,,,,0.011801409202433685,Binance,FALSE,db5e5577-7144-48e2-beb9-aa115ebfca96
2019-09-08T05:31:59.000Z,Income,0.0204,STEEM,,,,,0.003459791907052404,Binance,FALSE,453d9f9d-289f-4d20-aeb1-5246bb9b7a72
2019-09-09T19:05:32.000Z,Income,0.0326,ARDR,,,,,0.0019522076845692265,Binance,FALSE,c66ff818-307d-4fd7-8997-afbade816a86
2019-09-10T04:35:17.000Z,Income,0.002576,GXS,,,,,0.001977119875576369,Binance,FALSE,4dd95122-100f-4f04-810c-4acafd361340
2019-09-10T19:00:39.000Z,Income,1.2,STORM,,,,,0.00186740132899104,Binance,FALSE,f9e34694-583b-484b-a87e-86c122a9a5af
2019-09-11T13:21:11.000Z,Income,0.5936,TNB,,,,,0.0019757575387568302,Binance,FALSE,1016fce5-fd69-4b44-8e7d-e0b553362cb3
2019-09-12T19:48:13.000Z,Income,0.12,ENJ,,,,,0.008562701663482716,Binance,FALSE,64a91b7a-c7ad-4077-9dd4-22cbfdcc1f07
2019-09-13T14:07:05.000Z,Income,0.0452,IOTA,,,,,0.01080113617910865,Binance,FALSE,1f091b10-483b-4cc2-a35a-5c55179fc76f
2019-09-17T19:09:31.000Z,Income,0.063,WABI,,,,,,Binance,FALSE,eb3b35b6-5556-48e1-9843-b7c5945506d7
2019-09-18T22:18:23.000Z,Income,0.9424,LEND,,,,,0,Binance,FALSE,dff940c3-740f-42d1-83c1-a8e3eb337c97
2019-09-19T02:30:01.000Z,Income,0.045,BAND,,,,,0,Binance,FALSE,7e3f95e8-2361-4a14-93fe-fedbf1aa6638
